,year,num_parts,log_parts
2940,1975,236,7.882643049361842
2941,2000,0,-inf
2942,1986,22,4.459431618637297
2943,2000,0,-inf
2944,2014,21,4.392317422778761
2945,2000,0,-inf
2946,2000,0,-inf
2947,2000,0,-inf
2948,2001,0,-inf
2949,2002,0,-inf
2950,2012,394,8.622051819456376
2951,1975,196,7.614709844115208
2952,1986,30,4.906890595608519
2953,2000,0,-inf
2954,2000,0,-inf
2955,2001,0,-inf
2956,2002,0,-inf
2957,2002,0,-inf
2958,2002,5,2.321928094887362
2959,2002,5,2.321928094887362
2960,2012,45,5.491853096329675
2961,1976,133,7.05528243550119
2962,2012,43,5.426264754702098
2963,1986,29,4.857980995127572
2964,2012,83,6.3750394313469245
2965,2012,86,6.426264754702098
2966,2012,83,6.3750394313469245
2967,2012,73,6.189824558880018
2968,2012,77,6.266786540694901
2969,2012,64,6.0
2970,2012,64,6.0
2971,2012,86,6.426264754702098
2972,1976,142,7.149747119504682
2973,2012,202,7.658211482751795
2974,2001,0,-inf
2975,1976,283,8.144658242831882
2976,1976,433,8.758223214726724
2977,1998,0,-inf
2978,1978,973,9.926295994781112
2979,2002,0,-inf
2980,2011,794,9.632995197142957
2981,2011,174,7.442943495848728
2982,2012,315,8.29920801838728
2983,2012,278,8.118941072723507
2984,2012,909,9.828136484194108
2985,2013,366,8.515699838284043
2986,2013,285,8.154818109052105
2987,2009,159,7.312882955284356
2988,2014,250,7.965784284662087
2989,2014,327,8.353146825498083
2990,2012,618,9.271463027904375
2991,2013,394,8.622051819456376
2992,2014,545,9.090112419664289
2993,2014,215,7.7481928495894605
2994,2014,281,8.134426320220927
2995,2009,42,5.392317422778761
2996,2009,61,5.930737337562887
2997,2009,44,5.459431618637297
2998,2010,26,4.700439718141092
2999,2010,81,6.339850002884624
3000,2010,64,6.0
3001,2010,85,6.409390936137702
3002,1977,317,8.308339030139408
3003,2010,71,6.149747119504682
3004,2010,52,5.700439718141092
3005,2010,18,4.169925001442312
3006,2010,18,4.169925001442312
3007,2010,25,4.643856189774724
3008,2011,51,5.672425341971495
3009,2011,41,5.357552004618084
3010,2011,86,6.426264754702098
3011,2011,95,6.569855608330948
3012,2011,59,5.882643049361842
3013,2011,71,6.149747119504682
3014,2015,466,8.86418614465428
3015,2015,558,9.124121311829187
3016,2016,1142,10.157346935362844
3017,1996,53,5.727920454563199
3018,2011,54,5.754887502163468
3019,2011,72,6.169925001442312
3020,2011,76,6.247927513443585
3021,2011,77,6.266786540694901
3022,2012,44,5.459431618637297
3023,2012,38,5.247927513443585
3024,2011,64,6.0
3025,2012,51,5.672425341971495
3026,1966,12,3.584962500721156
3027,2012,51,5.672425341971495
3028,2012,52,5.700439718141092
