,Month,Airport,Number of Delays,Total Flights,Percent Delayed,Airport Name,Category
0,1,ABE,74.0,316.0,0.23417721518987342,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3
1,1,ABI,34.0,169.0,0.20118343195266272,"Abilene, TX: Abilene Regional",2
2,1,ABQ,257.0,1800.0,0.14277777777777778,"Albuquerque, NM: Albuquerque International Sunport",2
3,1,ABR,9.0,62.0,0.14516129032258066,"Aberdeen, SD: Aberdeen Regional",2
4,1,ABY,11.0,83.0,0.13253012048192772,"Albany, GA: Southwest Georgia Regional",2
5,1,ACT,23.0,111.0,0.2072072072072072,"Waco, TX: Waco Regional",2
6,1,ACV,21.0,97.0,0.21649484536082475,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",2
7,1,ACY,20.0,310.0,0.06451612903225806,"Atlantic City, NJ: Atlantic City International",1
8,1,ADK,0.0,9.0,0.0,"Adak Island, AK: Adak",0
9,1,ADQ,4.0,52.0,0.07692307692307693,"Kodiak, AK: Kodiak Airport",1
10,1,AEX,38.0,267.0,0.14232209737827714,"Alexandria, LA: Alexandria International",2
11,1,AGS,74.0,284.0,0.2605633802816901,"Augusta, GA: Augusta Regional at Bush Field",3
12,1,ALB,200.0,1030.0,0.1941747572815534,"Albany, NY: Albany International",2
13,1,ALO,9.0,58.0,0.15517241379310345,"Waterloo, IA: Waterloo Regional",2
14,1,AMA,40.0,417.0,0.09592326139088729,"Amarillo, TX: Rick Husband Amarillo International",2
15,1,ANC,62.0,1207.0,0.05136702568351284,"Anchorage, AK: Ted Stevens Anchorage International",1
16,1,APN,12.0,52.0,0.23076923076923078,"Alpena, MI: Alpena County Regional",2
17,1,ASE,200.0,985.0,0.20304568527918782,"Aspen, CO: Aspen Pitkin County Sardy Field",2
18,1,ATL,5876.0,30617.0,0.19191952183427508,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2
19,1,ATW,50.0,318.0,0.15723270440251572,"Appleton, WI: Appleton International",2
20,1,AUS,713.0,4704.0,0.1515731292517007,"Austin, TX: Austin - Bergstrom International",2
21,1,AVL,116.0,483.0,0.2401656314699793,"Asheville, NC: Asheville Regional",3
22,1,AVP,59.0,253.0,0.233201581027668,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",3
23,1,AZA,49.0,438.0,0.11187214611872145,"Phoenix, AZ: Phoenix - Mesa Gateway",2
24,1,AZO,53.0,225.0,0.23555555555555555,"Kalamazoo, MI: Kalamazoo/Battle Creek International",3
